执勤期0 航段：534 飞机：15 起飞:XIY 落地:ENH起飞时间：2019-07-03 19:25:00落地时间:2019-07-03 20:30:00
执勤期1 航段：499 飞机：14 起飞:ENH 落地:MFM起飞时间：2019-07-04 16:25:00落地时间:2019-07-04 18:25:00
执勤期1 航段：487 飞机：14 起飞:MFM 落地:XIY起飞时间：2019-07-04 19:20:00落地时间:2019-07-04 22:05:00
执勤期2 航段：670 飞机：19 起飞:XIY 落地:HET起飞时间：2019-07-05 11:55:00落地时间:2019-07-05 13:45:00
执勤期2 航段：677 飞机：19 起飞:HET 落地:CIF起飞时间：2019-07-05 14:30:00落地时间:2019-07-05 15:55:00
执勤期3 航段：108 飞机：4 起飞:CIF 落地:HRB起飞时间：2019-07-06 10:05:00落地时间:2019-07-06 11:30:00
执勤期3 航段：116 飞机：4 起飞:HRB 落地:CIF起飞时间：2019-07-06 12:30:00落地时间:2019-07-06 14:10:00
执勤期3 航段：123 飞机：4 起飞:CIF 落地:HGH起飞时间：2019-07-06 14:55:00落地时间:2019-07-06 17:30:00
执勤期4 航段：655 飞机：19 起飞:HGH 落地:WDS起飞时间：2019-07-07 06:55:00落地时间:2019-07-07 09:10:00
执勤期4 航段：665 飞机：19 起飞:WDS 落地:XIY起飞时间：2019-07-07 09:55:00落地时间:2019-07-07 10:55:00
总执勤期耗时: 87.50
